objectid,filename,title,format,description,creator,editor,date,date-is-approximate?,item_information,subject,location,latitude,longitude,publisher,source,identifier,rights,rightsstatement,type,language,relation
pn_1964_sb_01,,Humor in Eudora Welty's The Shoe Bird,leave blank,,Helen Bevington,,11/15/1964,no,50,Shoe Bird;Review,"New York, New York",40°45′22″N,73°59′24″W,New York Times Book Review,New York Times Archive,Leave blank for now,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,leave blank
pn_1994_sb_02,,The Shoe Bird,,,,,4/10/1994,no,35,Shoe Bird;Review,"New York, New York",40°45′22″N,73°59′24″W,New York Times Book Reivew,New York Times Archive ,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1965_sb_03,,The Shoe Bird,,,,,2/28/1965,no,19,Shoe Bird;Review,"Sioux Falls, South Dakota",43.5469° N ,96.7317° W,Argus-Leader,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1994_sb_04,,Welty's Parrot Gives Children Bird's-Eye View of Learning,,,Elizabeth Ward,,2/20/1994,no,171,Shoe Bird;Review,"Atlanta, Georgia",33.7877846,-84.383977,Atlanta Journal,Genealogy Bank,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1964_sb_05,,A Wide Choice for Children from Picture Books to Poetry,,,Margaret Libby,,12/13/1964,no,38,Shoe Bird;Review,"Toledo, Ohio",41.6525° N,83.5375° W,Toledo Blade,Genealogy Bank,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1964_sb_06,,Children Romp Through Book Fair,,,Arline Grimes,,11/2/1964,no,5,Shoe Bird;Review,"Boston, Massachusets",42.34558,-71.04255,Boston Herald,Genealogy Bank,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1964_sb_07,,A Festival of Reading,,,Charlotte Jackson,,11/29/1964,no,137,Shoe Bird;Review,"Chicago, Illinois",41.8745,-87.6501,Chicago Sun Times,Genealogy Bank,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1964_sb_08,,Riding High With Great Fall Books!,,,,,11/1/1964,no,213,Shoe Bird;Advertisement,"Chicago, Illinois",41.881832,-87.623177,Chicago Tribune,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1964_sb_09,,The Junior Bookshelf,,,Polly Goodwin,,12/20/1964,no,149,Shoe Bird;Review,"Chicago, Illinois",41.881832,-87.623177,Chicago Tribune,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1964_sb_10,,Autograph Party with Eudora Welty,,,,,10/10/1964,no,2,Shoe Bird;Advertisement,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
